Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Nov 2025,SEN,19573989,,Tivaouane,first projection,2026-06-01,2026-08-31,all,703328,1.0
Nov 2025,SEN,19573989,,Tivaouane,first projection,2026-06-01,2026-08-31,3+,14067,0.02
Nov 2025,SEN,19573989,,Tivaouane,first projection,2026-06-01,2026-08-31,1,611895,0.87
Nov 2025,SEN,19573989,,Tivaouane,first projection,2026-06-01,2026-08-31,2,77366,0.11
Nov 2025,SEN,19573989,,Tivaouane,first projection,2026-06-01,2026-08-31,3,14067,0.02
Nov 2025,SEN,19573989,,Tivaouane,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Tivaouane,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Louga,current,2025-10-01,2025-12-31,all,511625,1.0
Nov 2025,SEN,19573989,,Louga,current,2025-10-01,2025-12-31,3+,5116,0.01
Nov 2025,SEN,19573989,,Louga,current,2025-10-01,2025-12-31,1,496276,0.97
Nov 2025,SEN,19573989,,Louga,current,2025-10-01,2025-12-31,2,10233,0.02
Nov 2025,SEN,19573989,,Louga,current,2025-10-01,2025-12-31,3,5116,0.01
Nov 2025,SEN,19573989,,Louga,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Louga,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Louga,first projection,2026-06-01,2026-08-31,all,511625,1.0
Nov 2025,SEN,19573989,,Louga,first projection,2026-06-01,2026-08-31,3+,10233,0.02
Nov 2025,SEN,19573989,,Louga,first projection,2026-06-01,2026-08-31,1,480928,0.94
Nov 2025,SEN,19573989,,Louga,first projection,2026-06-01,2026-08-31,2,20465,0.04
Nov 2025,SEN,19573989,,Louga,first projection,2026-06-01,2026-08-31,3,10233,0.02
Nov 2025,SEN,19573989,,Louga,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Louga,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Medina yoroufoula,current,2025-10-01,2025-12-31,all,202418,1.0
Nov 2025,SEN,19573989,,Medina yoroufoula,current,2025-10-01,2025-12-31,3+,12145,0.06
Nov 2025,SEN,19573989,,Medina yoroufoula,current,2025-10-01,2025-12-31,1,163959,0.81
Nov 2025,SEN,19573989,,Medina yoroufoula,current,2025-10-01,2025-12-31,2,26314,0.13
Nov 2025,SEN,19573989,,Medina yoroufoula,current,2025-10-01,2025-12-31,3,12145,0.06
Nov 2025,SEN,19573989,,Medina yoroufoula,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Medina yoroufoula,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Medina yoroufoula,first projection,2026-06-01,2026-08-31,all,202418,1.0
Nov 2025,SEN,19573989,,Medina yoroufoula,first projection,2026-06-01,2026-08-31,3+,18218,0.09
Nov 2025,SEN,19573989,,Medina yoroufoula,first projection,2026-06-01,2026-08-31,1,129548,0.64
Nov 2025,SEN,19573989,,Medina yoroufoula,first projection,2026-06-01,2026-08-31,2,54653,0.27
Nov 2025,SEN,19573989,,Medina yoroufoula,first projection,2026-06-01,2026-08-31,3,18218,0.09
Nov 2025,SEN,19573989,,Medina yoroufoula,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Medina yoroufoula,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Bambey,current,2025-10-01,2025-12-31,all,411787,1.0
Nov 2025,SEN,19573989,,Bambey,current,2025-10-01,2025-12-31,3+,20589,0.05
Nov 2025,SEN,19573989,,Bambey,current,2025-10-01,2025-12-31,1,321194,0.78
Nov 2025,SEN,19573989,,Bambey,current,2025-10-01,2025-12-31,2,70004,0.17
Nov 2025,SEN,19573989,,Bambey,current,2025-10-01,2025-12-31,3,20589,0.05
Nov 2025,SEN,19573989,,Bambey,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Bambey,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Bambey,first projection,2026-06-01,2026-08-31,all,411787,1.0
Nov 2025,SEN,19573989,,Bambey,first projection,2026-06-01,2026-08-31,3+,32943,0.08
Nov 2025,SEN,19573989,,Bambey,first projection,2026-06-01,2026-08-31,1,284133,0.69
Nov 2025,SEN,19573989,,Bambey,first projection,2026-06-01,2026-08-31,2,94711,0.23
Nov 2025,SEN,19573989,,Bambey,first projection,2026-06-01,2026-08-31,3,32943,0.08
