Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Nov 2025,SEN,19573989,,Nioro du rip,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Nioro du rip,first projection,2026-06-01,2026-08-31,all,558342,1.0
Nov 2025,SEN,19573989,,Nioro du rip,first projection,2026-06-01,2026-08-31,3+,5583,0.01
Nov 2025,SEN,19573989,,Nioro du rip,first projection,2026-06-01,2026-08-31,1,485758,0.87
Nov 2025,SEN,19573989,,Nioro du rip,first projection,2026-06-01,2026-08-31,2,67001,0.12
Nov 2025,SEN,19573989,,Nioro du rip,first projection,2026-06-01,2026-08-31,3,5583,0.01
Nov 2025,SEN,19573989,,Nioro du rip,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Nioro du rip,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Koungheul,current,2025-10-01,2025-12-31,all,280617,1.0
Nov 2025,SEN,19573989,,Koungheul,current,2025-10-01,2025-12-31,3+,19643,0.07
Nov 2025,SEN,19573989,,Koungheul,current,2025-10-01,2025-12-31,1,213269,0.76
Nov 2025,SEN,19573989,,Koungheul,current,2025-10-01,2025-12-31,2,47705,0.17
Nov 2025,SEN,19573989,,Koungheul,current,2025-10-01,2025-12-31,3,19643,0.07
Nov 2025,SEN,19573989,,Koungheul,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Koungheul,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Koungheul,first projection,2026-06-01,2026-08-31,all,280617,1.0
Nov 2025,SEN,19573989,,Koungheul,first projection,2026-06-01,2026-08-31,3+,28062,0.1
Nov 2025,SEN,19573989,,Koungheul,first projection,2026-06-01,2026-08-31,1,188013,0.67
Nov 2025,SEN,19573989,,Koungheul,first projection,2026-06-01,2026-08-31,2,64542,0.23
Nov 2025,SEN,19573989,,Koungheul,first projection,2026-06-01,2026-08-31,3,28062,0.1
Nov 2025,SEN,19573989,,Koungheul,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Koungheul,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Mbacke,current,2025-10-01,2025-12-31,all,1487328,1.0
Nov 2025,SEN,19573989,,Mbacke,current,2025-10-01,2025-12-31,3+,14873,0.01
Nov 2025,SEN,19573989,,Mbacke,current,2025-10-01,2025-12-31,1,1353468,0.91
Nov 2025,SEN,19573989,,Mbacke,current,2025-10-01,2025-12-31,2,118986,0.08
Nov 2025,SEN,19573989,,Mbacke,current,2025-10-01,2025-12-31,3,14873,0.01
Nov 2025,SEN,19573989,,Mbacke,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Mbacke,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Mbacke,first projection,2026-06-01,2026-08-31,all,1487328,1.0
Nov 2025,SEN,19573989,,Mbacke,first projection,2026-06-01,2026-08-31,3+,29747,0.02
Nov 2025,SEN,19573989,,Mbacke,first projection,2026-06-01,2026-08-31,1,1293975,0.87
Nov 2025,SEN,19573989,,Mbacke,first projection,2026-06-01,2026-08-31,2,163606,0.11
Nov 2025,SEN,19573989,,Mbacke,first projection,2026-06-01,2026-08-31,3,29747,0.02
Nov 2025,SEN,19573989,,Mbacke,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Mbacke,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Kaffrine,current,2025-10-01,2025-12-31,all,311063,1.0
Nov 2025,SEN,19573989,,Kaffrine,current,2025-10-01,2025-12-31,3+,15553,0.05
Nov 2025,SEN,19573989,,Kaffrine,current,2025-10-01,2025-12-31,1,251961,0.81
Nov 2025,SEN,19573989,,Kaffrine,current,2025-10-01,2025-12-31,2,43549,0.14
Nov 2025,SEN,19573989,,Kaffrine,current,2025-10-01,2025-12-31,3,15553,0.05
Nov 2025,SEN,19573989,,Kaffrine,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Kaffrine,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Kaffrine,first projection,2026-06-01,2026-08-31,all,311063,1.0
Nov 2025,SEN,19573989,,Kaffrine,first projection,2026-06-01,2026-08-31,3+,21774,0.07
Nov 2025,SEN,19573989,,Kaffrine,first projection,2026-06-01,2026-08-31,1,223965,0.72
Nov 2025,SEN,19573989,,Kaffrine,first projection,2026-06-01,2026-08-31,2,65323,0.21
Nov 2025,SEN,19573989,,Kaffrine,first projection,2026-06-01,2026-08-31,3,21774,0.07
Nov 2025,SEN,19573989,,Kaffrine,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Kaffrine,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Guinguineo,current,2025-10-01,2025-12-31,all,178642,1.0
Nov 2025,SEN,19573989,,Guinguineo,current,2025-10-01,2025-12-31,3+,3573,0.02
Nov 2025,SEN,19573989,,Guinguineo,current,2025-10-01,2025-12-31,1,150059,0.84
Nov 2025,SEN,19573989,,Guinguineo,current,2025-10-01,2025-12-31,2,25010,0.14
Nov 2025,SEN,19573989,,Guinguineo,current,2025-10-01,2025-12-31,3,3573,0.02
Nov 2025,SEN,19573989,,Guinguineo,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Guinguineo,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Guinguineo,first projection,2026-06-01,2026-08-31,all,178642,1.0
Nov 2025,SEN,19573989,,Guinguineo,first projection,2026-06-01,2026-08-31,3+,7146,0.04
Nov 2025,SEN,19573989,,Guinguineo,first projection,2026-06-01,2026-08-31,1,130409,0.73
Nov 2025,SEN,19573989,,Guinguineo,first projection,2026-06-01,2026-08-31,2,41088,0.23
Nov 2025,SEN,19573989,,Guinguineo,first projection,2026-06-01,2026-08-31,3,7146,0.04
Nov 2025,SEN,19573989,,Guinguineo,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Guinguineo,first projection,2026-06-01,2026-08-31,5,0,0
